KABUPATEN;ELEVASI;LUAS_SAWIT;CURAH_HUJAN
Ogan Komering Ulu;1016.5;72517;2450
Ogan Komering Ilir;46;154224;2300
Muara Enim;1359.5;148377;2600
Lahat;1559;24304;2800
Musi Rawas;1001.5;106501;2750
Musi Banyuasin;77.5;202053;2400
Banyuasin;27.5;101641;2350
Ogan Komering Ulu Selatan;1361.5;4271;2700
Ogan Komering Ulu Timur;224;74628;2350
Ogan Ilir;31;36106;2200
Empat Lawang;1359.5;4136;2850
Penukal Abab Lematang Ilir;55.5;70268;2500
Musi Rawas Utara;1191;177120;2800
Kota Palembang;18.5;445;2100
Kota Prabumulih;41;19096;2450
Kota Pagar Alam;1739;923;3100
Kota Lubuk Linggau;358;11304;2900
